Name,uuid,Item_uuid,Item_name,item_description,item_price
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,ab8568f2-bd55-41a7-8ae7-14b6f5797e82,Combo master,4 tacos + 2 burritos +porção de nachos + molho + bebida  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,73.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,591505ec-e62e-4c12-b797-d6229b1e30dd,Combo taco burrito,2 tacos + 1 burrito  + bebida.  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,39.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,70612f7d-96c3-4240-96f7-44a333331cd8,Combo taco nachos,2 tacos  + porção de nachos + molho + bebida.  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,34.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,69758511-8f3b-4bff-96be-8dc42ccda0bf,Burrito do Chef Grande,Burrito recheado com chilli beans levemente picante acompanhado de cheddar e molho barbecue.,27.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,a37bd53a-8435-4960-ad47-8d74a5853650,Combo master,4 tacos + 2 burritos +porção de nachos + molho + bebida  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,73.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,5cb0e520-1f9a-4af9-88bd-ea01347deedc,Combo taco burrito,2 tacos + 1 burrito  + bebida.  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,39.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,758222a3-4416-49ee-a8d2-ee576b2d6741,Combo taco nachos,2 tacos  + porção de nachos + molho + bebida.  Obs: Somente os Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,34.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,b63e4b6b-843e-4244-a8f5-be8e74644866,Taco Castelões,Calabresa moida com Batata corada e molho sour cream. Obs: Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,17.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,40a9aabf-1d01-4cf6-bf17-4f2b4276f1ba,Taco Chef,Delicioso taco de chilli beans com cheddar com qj mussarela ralado.  Obs: Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,18.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,2d0efe24-d780-45f7-8b92-7032889806cb,Taco vegano,Escolha sua carne vegana e mais um molho vegano.  Obs: Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,18.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,efb1f8a9-8b72-470a-b661-3e829de653e7,Taco del pollo,Nosso saboroso frango desfiado com milho e barbeuce com qj mussarela ralado  Obs: Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,18.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,13b5febf-9bd9-4458-b850-c3c9dbcc0035,Taco guaca carnita,Carne moida com nosso inigualavel guacamole e qj mussarela ralado.  Obs: Tacos não vão montados pra preservar a crocancia e qualidade dos mesmos.,19.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,0da1b0e2-0b94-4fa3-83fb-fed0092b29fc,Nachos master,Nachos com chiili beans + cheddar + 2 molhos a escolha,32.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,2286a40e-98bf-43aa-931e-fd33f5df54e3,Nachos master,Nachos com chiili beans + cheddar + molho barbecue,27.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,1df215c8-6056-4e30-a194-8cae2fa728c7,Nachos doblo,Nachos com 2 molhos a escolha,24.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,5f39f504-e234-43fe-a312-b222a4e60be0,Nachos solo,Nachos com 1 molho a escolha,16.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,50dc7731-6785-4e50-ba74-6abe292e10a3,Burrito do chef,Burrito recheado com chilli beans levemente picante acompanhado de cheddar e molho barbecue,21.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,cbd985ae-b695-498b-81bc-93fbf9764d5b,Burrito vegano,,22.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,ae4b58bd-f6d6-40b7-ac5b-f24e608afd0a,Burrito castelões,Burrito de calabresa com batata corada e molho sour cream,23.9
Master Taco,33d045a9-3321-4f65-aa39-80b256cbac6f,89ac0476-1d33-4968-b61e-85f75f85e7c5,Burrito del pollo,"Burrito com frango desfiado, milho e molho barbecue",22.9
